Date,Crop,Variety,Grade,High Price,Low Price,Average,Type
05/13/2013,cherries,BURLAT,N/A,0.35714285714285715,0.2976190476190476,0.3273809523809524,Nonorganic
05/14/2013,cherries,BURLAT,N/A,0.35714285714285715,0.2976190476190476,0.3273809523809524,Nonorganic
05/15/2013,cherries,BURLAT,N/A,0.35714285714285715,0.2976190476190476,0.3273809523809524,Nonorganic
05/16/2013,cherries,BURLAT,N/A,0.3273809523809524,0.26785714285714285,0.2976190476190476,Nonorganic
05/17/2013,cherries,BURLAT,N/A,0.35714285714285715,0.26785714285714285,0.3115079365079365,Nonorganic
06/05/2013,cherries,BING,N/A,4.5,0.03722084367245657,1.0420996478355937,Nonorganic
06/06/2013,cherries,BING,N/A,4.5,0.038461538461538464,0.8565077120682539,Nonorganic
06/07/2013,cherries,BING,N/A,4.5,0.038461538461538464,0.7815191287522786,Nonorganic
06/10/2013,cherries,BING,N/A,4.5,0.04032258064516129,1.0402855793638226,Nonorganic
06/11/2013,cherries,BING,N/A,4.5,0.04032258064516129,1.4733176045438854,Nonorganic
06/12/2013,cherries,BING,N/A,4.5,0.04032258064516129,1.5595715818120053,Nonorganic
06/13/2013,cherries,BING,N/A,4.5,0.04466501240694789,1.7379905280970949,Nonorganic
06/14/2013,cherries,BING,N/A,4.5,0.04466501240694789,1.418427338790242,Nonorganic
06/17/2013,cherries,BING,N/A,4.5,0.04156327543424317,1.389406498995552,Nonorganic
06/18/2013,cherries,BING,N/A,4.5,0.04156327543424317,1.886725297282092,Nonorganic
06/19/2013,cherries,BING,N/A,4.0,0.04156327543424317,1.623569312909567,Nonorganic
06/24/2013,cherries,BING,N/A,4.166666666666667,0.26595744680851063,1.6900805587581085,Nonorganic
06/25/2013,cherries,BING,N/A,4.166666666666667,0.10638297872340426,1.4852690836733395,Nonorganic
06/26/2013,cherries,BING,N/A,4.166666666666667,0.10638297872340426,1.462187840069046,Nonorganic
06/27/2013,cherries,BING,N/A,4.166666666666667,0.19148936170212766,1.5636158478443007,Nonorganic
06/28/2013,cherries,BING,N/A,4.333333333333333,0.19148936170212766,1.385290753238215,Nonorganic
07/01/2013,cherries,BING,N/A,4.166666666666667,0.13664596273291926,1.3891850940254185,Nonorganic
07/02/2013,cherries,BING,N/A,4.166666666666667,0.14893617021276595,1.3222386304983653,Nonorganic
07/03/2013,cherries,BING,N/A,4.166666666666667,0.02127659574468085,1.30701159093371,Nonorganic
07/05/2013,cherries,BING,N/A,4.166666666666667,0.14893617021276595,1.3983672665283609,Nonorganic
07/15/2013,cherries,BING,N/A,3.2222222222222223,0.23404255319148937,1.3741989755713158,Nonorganic
07/16/2013,cherries,BING,N/A,3.2222222222222223,0.23404255319148937,1.2553388494877855,Nonorganic
07/25/2013,cherries,BING,N/A,2.888888888888889,0.0797872340425532,1.344115867387144,Nonorganic
08/02/2013,cherries,BING,N/A,3.611111111111111,0.1595744680851064,1.5157801418439716,Nonorganic
12/11/2012,cherries,BING,N/A,5.443114913227677,2.267964547178199,4.040466070203622,Nonorganic
12/12/2012,cherries,BING,N/A,5.443114913227677,2.267964547178199,4.032853322073233,Nonorganic
12/13/2012,cherries,BING,N/A,5.261677749453421,3.175150366049478,4.659636251475208,Nonorganic
12/14/2012,cherries,BING,N/A,5.261677749453421,1.632934473968303,4.326578520770717,Nonorganic
12/20/2012,cherries,BING,N/A,5.443114913227677,1.0886229826455354,4.020482606361352,Nonorganic
12/21/2012,cherries,BING,N/A,5.443114913227677,1.0886229826455354,3.9442861690055624,Nonorganic
12/26/2012,cherries,BING,N/A,5.443114913227677,1.3607787283069193,3.7279667244241645,Nonorganic
12/27/2012,cherries,BING,N/A,5.443114913227677,0.43902439024390244,3.5327603385440467,Nonorganic
12/31/2012,cherries,BING,N/A,5.443114913227677,0.36585365853658536,3.8331580178299633,Nonorganic
01/02/2013,cherries,BING,N/A,5.443114913227677,1.9958088015168147,3.9567258407693493,Nonorganic
01/08/2013,cherries,BING,N/A,4.808084840017781,0.7257486550970236,2.8319974693459953,Nonorganic
01/09/2013,cherries,BING,N/A,4.898803421904909,0.7257486550970236,2.7930855692556125,Nonorganic
01/10/2013,cherries,BING,N/A,4.898803421904909,0.7257486550970236,2.841305984704848,Nonorganic
01/11/2013,cherries,BING,N/A,4.898803421904909,0.7257486550970236,2.847555487012628,Nonorganic
01/14/2013,cherries,BING,N/A,4.898803421904909,0.9071858188712795,3.4807287471429618,Nonorganic
01/15/2013,cherries,BING,N/A,4.898803421904909,0.9071858188712795,3.204015369377201,Nonorganic
01/16/2013,cherries,BING,N/A,4.898803421904909,1.0886229826455354,2.9561744787357203,Nonorganic
01/17/2013,cherries,BING,N/A,4.898803421904909,1.0886229826455354,2.801279846757071,Nonorganic
01/18/2013,cherries,BING,N/A,4.898803421904909,0.43902439024390244,2.660150643183682,Nonorganic
01/22/2013,cherries,BING,N/A,4.898803421904909,1.4514973101940472,2.9401067675237376,Nonorganic
01/23/2013,cherries,BING,N/A,3.9916176030336294,1.0886229826455354,2.636886780185853,Nonorganic
01/24/2013,cherries,BING,N/A,4.898803421904909,1.1793415645326633,2.7097976404432846,Nonorganic
01/25/2013,cherries,BING,N/A,3.9916176030336294,1.0886229826455354,2.5112552895118605,Nonorganic
01/28/2013,cherries,BING,N/A,3.8101804392593737,0.45359290943563974,2.0623357615673754,Nonorganic
01/29/2013,cherries,BING,N/A,4.898803421904909,0.45359290943563974,2.3479401391050088,Nonorganic
01/31/2013,cherries,BING,N/A,4.898803421904909,0.45359290943563974,2.0649277210498647,Nonorganic
02/01/2013,cherries,BING,N/A,4.082336184920758,0.45359290943563974,1.5643404361470887,Nonorganic
02/04/2013,cherries,BING,N/A,2.7215574566138385,0.5121951219512195,1.4710313810325737,Nonorganic
02/05/2013,cherries,BING,N/A,2.7215574566138385,0.3902439024390244,1.2079988270013609,Nonorganic
02/06/2013,cherries,BING,N/A,2.7215574566138385,0.5121951219512195,1.864145235876795,Nonorganic
02/07/2013,cherries,BING,N/A,2.3586831290653265,0.5121951219512195,1.435439125508273,Nonorganic
